AUDITUSER,AUDITTIMESTAMP,EGROUPID,USERID,ACCESSLEVEL
OPSSYS_BD,"2024-02-19 14:00:00.810",3,307,2
OPSSYS_BD,"2024-02-19 14:00:00.810",1,311,2
OPSSYS_BD,"2024-02-19 14:00:00.813",2,311,2
OPSSYS_BD,"2024-02-19 14:00:00.813",3,311,2
OPSSYS_BD,"2024-02-19 14:00:00.817",1,312,2
OPSSYS_BD,"2024-02-19 14:00:00.817",2,312,2
OPSSYS_BD,"2024-02-19 14:00:00.820",3,312,2
OPSSYS_BD,"2024-02-19 14:00:00.820",1,317,2
OPSSYS_BD,"2024-02-19 14:00:00.830",2,317,2
OPSSYS_BD,"2024-02-19 14:00:00.830",3,317,2
OPSSYS_BD,"2024-02-19 14:00:00.830",1,174,2
OPSSYS_BD,"2024-02-19 14:00:00.833",2,174,2
OPSSYS_BD,"2024-02-19 14:00:00.833",3,174,2
OPSSYS_BD,"2024-02-19 14:00:00.837",1,185,2
OPSSYS_BD,"2024-02-19 14:00:00.840",2,185,2
OPSSYS_BD,"2024-02-19 14:00:00.840",3,185,2
OPSSYS_BD,"2024-02-19 14:00:00.850",1,191,2
OPSSYS_BD,"2024-02-19 14:00:00.853",2,191,2
OPSSYS_BD,"2024-02-19 14:00:00.857",3,191,2
OPSSYS_BD,"2024-02-19 14:00:00.857",1,231,2
OPSSYS_BD,"2024-02-19 14:00:00.860",2,231,2
OPSSYS_BD,"2024-02-19 14:00:00.860",3,231,2
OPSSYS_BD,"2024-02-19 14:00:00.863",1,318,2
OPSSYS_BD,"2024-02-19 14:00:00.863",2,318,2
OPSSYS_BD,"2024-02-19 14:00:00.867",3,318,2
OPSSYS_BD,"2024-02-19 14:00:00.870",1,321,2
OPSSYS_BD,"2024-02-19 14:00:00.870",2,321,2
OPSSYS_BD,"2024-02-19 14:00:00.870",3,321,2
OPSSYS_BD,"2024-02-19 14:00:00.873",1,242,2
OPSSYS_BD,"2024-02-19 14:00:00.873",2,242,2
OPSSYS_BD,"2024-02-19 14:00:00.877",3,242,2
OPSSYS_BD,"2024-02-19 14:00:00.880",1,248,2
OPSSYS_BD,"2024-02-19 14:00:00.880",2,248,2
OPSSYS_BD,"2024-02-19 14:00:00.880",3,248,2
OPSSYS_BD,"2024-02-19 14:00:00.883",1,253,2
OPSSYS_BD,"2024-02-19 14:00:00.887",2,253,2
OPSSYS_BD,"2024-02-19 14:00:00.887",3,253,2
OPSSYS_BD,"2024-02-19 14:00:00.893",1,254,2
OPSSYS_BD,"2024-02-19 14:00:00.897",2,254,2
OPSSYS_BD,"2024-02-19 14:00:00.897",3,254,2
OPSSYS_BD,"2024-02-19 14:00:00.900",1,255,2
OPSSYS_BD,"2024-02-19 14:00:00.900",2,255,2
OPSSYS_BD,"2024-02-19 14:00:00.903",3,255,2
OPSSYS_BD,"2024-02-19 14:00:00.903",1,322,2
OPSSYS_BD,"2024-02-19 14:00:00.907",2,322,2
OPSSYS_BD,"2024-02-19 14:00:00.927",3,322,2
OPSSYS_BD,"2024-02-19 14:00:00.927",1,258,2
OPSSYS_BD,"2024-02-19 14:00:00.930",2,258,2
OPSSYS_BD,"2024-02-19 14:00:00.933",3,258,2
OPSSYS_BD,"2024-02-19 14:00:00.937",1,324,2
OPSSYS_BD,"2024-02-19 14:00:00.937",2,324,2
OPSSYS_BD,"2024-02-19 14:00:00.940",3,324,2
OPSSYS_BD,"2024-02-19 14:00:00.940",1,325,2
OPSSYS_BD,"2024-02-19 14:00:00.943",2,325,2
OPSSYS_BD,"2024-02-19 14:00:00.950",3,325,2
